_id,Pipeline Status,Application Number,Date Received,Description,Address,Ward,Proposed Residential Gross Floor Area,Proposed Non-Residential Gross Floor Area,Proposed Gross Floor Area,Proposed Residential Units,Application Information Centre Link
90,Built,14 153126 NNY 33 SA,2014-05-07,"Revised development application as per Committee of Adjustment decisions. Floor area increased and number of storey's increased. SF April 7th, 2016. Site Plan approval application (Phase 2) to construct a mixed use development comprising a 23 and 19 stor",2205 SHEPPARD AVE E,17,47574,653,48227,574,http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=3547033&isCofASearch=false
91,Under Review,20 154351 ESC 23 SA,2020-06-10,Development of vacant land for a concrete batching plant and ancillary office trailers.,0 PASSMORE AVE,23,0,1030,1030,0,http://app.toronto.ca/AIC/index.do?folderRsn=v3xMw6mL1ymlxlyt15%2B3aA%3D%3D
92,Active,17 241092 NNY 34 SA,2017-09-29,Site Plan application to permit a self storage warehouse within the existing building,150 DUNCAN MILL RD,16,0,3540,3540,0,http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=4255591&isCofASearch=false
93,Active,17 278590 WET 01 SA,2017-12-22,"The proposal is for a one-storey convenience store with a drive-thru, a car-wash and a gas-bar on Parcel A and a 4-storey hotel (140 rooms) and a one-storey restaurant building on Parcel B.",2045 CODLIN CRES,1,0,7574,7574,0,http://app.toronto.ca/AIC/index.do?folderRsn=u9RqwPgw4htekBgINipdpQ%3D%3D
94,Built,11 323517 NNY 33 SA,2011-12-09,"Two-storey, 5,461 square metre Public Community Centre including an 846 square metre Child Care Centre and 533 square metre Pool Pavilion building. The application also includes general parkland landscape enhancements and amenity replacements including a",55 FOREST MANOR RD,17,0,5143,5143,0,
95,Under Review,16 112944 STE 20 SA,2016-02-04,Proposal for site plan approval related to a new 4 storey mixed use building with commercial uses on the 1st and 2nd floors and residential units on the 3rd and 4th floors (4 residential units in total).,399 DUNDAS ST W,10,314,301,615,4,http://app.toronto.ca/AIC/index.do?folderRsn=y%2B0KbfnaBzzUTPP%2Btvll5w%3D%3D
96,Built,18 150948 WET 07 SA,2018-04-30,"To demolish the existing industrial building and construct a one-storey multi unit industrial building with a GFA of 13,579 square metres.",40 NORELCO DR,7,0,13579,13579,0,http://app.toronto.ca/AIC/index.do?folderRsn=wyRdYgpGqpazBjyvmGMM4A%3D%3D
97,Under Review,17 278508 NNY 15 SA,2017-12-21,"Proposed 3 storey building with a gym in the basement, offices on first through third floors, banquet hall on basement and first floor.",110 FAIRBANK AVE,8,0,2275.56,2275.56,0,http://app.toronto.ca/AIC/index.do?folderRsn=mG2yKZPPyC9%2FnkA%2B3BNeHw%3D%3D
98,Built,17 190778 NNY 23 SA,2017-06-30,third floor addition to Avondale School,171 AVONDALE AVE,18,0,1994,1994,0,http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=4197102&isCofASearch=false
99,Built,14 252207 NNY 23 SA,2014-11-14,"Application to permit new 6,468 square mtre two-storey elementary school with daycare. The existing elementary school will be demolished and replace by this proposed development.",171 AVONDALE AVE,18,0,6468,6468,0,
100,Built,16 123362 ESC 42 OZ,2016-03-03,Proposal to lift the holding provision to facilitate a future development,5131 SHEPPARD AVE E,23,24681.54,0,24681.54,328,
101,Active,02 035102 SHY 18 SA,2002-10-16,Construct 17 unit rental residential building with retail,989 COLLEGE ST,9,991,189,1180,17,
102,Active,16 154617 WET 17 OZ,2016-05-12,"Proposed amendments to the Official Plan and Zoning By-laws to permit the development of a 6-storey residential building (84 units) with a total gross floor area of 6,685.07 square metres. A total of 113 parking spaces are proposed (surface parking lot a",150 BRONOCO AVE,9,6685.07,0,6685.07,84,http://app.toronto.ca/AIC/index.do?folderRsn=DKtYzjdwvf49%2FCwu8IJr7Q%3D%3D
103,Active,18 271310 STE 19 OZ,2018-12-21,"Zoning by-law amendment to permit a 10-storey (32.45 metres, excluding mechanical penthouse) residential mixed-use building with 126 units and retail at grade.  This application was scheduled to be considered by Toronto and East York Community Council at",968 O'CONNOR DR,19,9269,364,9633,126,http://app.toronto.ca/AIC/index.do?folderRsn=zzMp4CUPppS9O9JBBHd7YQ%3D%3D
104,Built,10 316220 STE 22 OZ,2010-12-17,Zoning by law amendment applicaiton to permit the redevelopmetn of the land for a new 7 unit infill townhouse development (Freehold) serviced by common element driveway leading to private parking to the rear of each unit.  Each unit to front onto a munic,538 EGLINTON AVE E,15,1453,0,1453,7,
105,Built,16 168927 STE 20 SA,2016-06-06,"SPA Phase 2 : Site Plan Approval application for Block 8.  Two residential towers, heights 120.2 metres and 130.8 metres, a retail building and at-grade parking under the Gardiner Expressway",500 LAKE SHORE BLVD W,10,53181.8,3157.4,56339.2,886,http://app.toronto.ca/AIC/index.do?folderRsn=MUlA7zAdBISNLA6O%2BSAwWw%3D%3D
106,Built,15 129557 STE 30 SA,2015-03-19,"Revised Application Submitted on December 15, 2017: The Applicant, Belleterre Real Estate Partners Limited, has submitted a revised application for Site Plan Control, which proposes the development of a 5-storey, 13,447 m2, self-storage warehouse (Storag",300 COMMISSIONERS ST,14,0,13447,13447,0,http://app.toronto.ca/AIC/index.do?folderRsn=ppTDE5B5TBA8IUnz6kYbGw%3D%3D
107,Built,13 220414 NNY 25 OZ,2013-08-14,To permit 5 freehold townhouse dwelling units and 2 single detached dwelling units together with a private access road.,108 BAYVIEW RIDGE,15,2751,0,2751,7,
108,Built,16 237355 STE 18 OZ,2016-10-14,Rezoning application for a three-storey plus mezzanine residential condominium containing seven dwelling units. The building height is 12.19 metres. The total GFA of the project is 1000.26 square metres.,1025 DUPONT ST,9,1003,0,1003,7,http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=4045321&isCofASearch=false
109,Built,13 280673 WET 05 OZ,2013-12-20,To redevelop the site with 2 and 3-storey retail podium base and 38 storey residential tower above (40 storeys total).  A total of 333 residential units are proposed along with 4132 square metres of retail floor area.  Parking will be provided in a 5 lev,5245 DUNDAS ST W,3,27419,4132,31551,333,
110,Under Review,21 161284 STE 14 OZ,2021-05-27,"Zoning by-law Amendment application to facilitate the development of the site for a 15-storey, plus mezzanine non-residential building having a gross floor area of approximately 18343 square metres.  46 parking spaces will be provided on the lot, located",33 DAVIES AVE,14,0,18343,18343,0,http://app.toronto.ca/AIC/index.do?folderRsn=AzG78J2G7c71oFrWlJ3Tbw%3D%3D
111,Under Review,25 113651 STE 10 OZ,2025-02-06,Queen Spadina Transit Oriented Communities (TOC) placeholder folder,443 QUEEN ST W,10,14676,1912,16588,217,
112,Under Review,25 113661 STE 10 OZ,2025-02-06,King Bathurst Transit Oriented Communities (TOC) placeholder folder,645 KING ST W,10,37839,1315,39154,422,
113,Built,10 288955 STE 27 OZ,2010-11-01,"Rezoning application for a 22-storey mixed use building containing 127 residential suites, including 3 storeys of retail. A total of 87 parking spaces are provided in 5 levels of underground parking.  Site Plan Application No. 10 288949 STE 27 SA has bee",94 CUMBERLAND ST,11,15504,508,16012,196,
114,Built,14 242937 NNY 16 SA,2014-10-24,Site Plan Control application for a proposed 4-storey (plus mechanical penthouse) commercial building located at the north-west corner of Avenue Road and Brooke Avenue. Retail at grade and office uses above. Step-back at 3rd floor. 0 parking is proposed,1914 AVENUE RD,8,0,1695,1695,0,http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=3648750&isCofASearch=false
115,Active,16 110485 STE 20 SA,2016-01-29,Proposal for a 4 storey commercial building,336 QUEEN ST W,10,0,3714,3714,0,http://app.toronto.ca/AIC/index.do?folderRsn=ILlcBogtvrU9Wz6TOZlsgQ%3D%3D
116,Built,16 117899 NNY 24 OZ,2016-02-18,Construct new 2-storey secondary school. Pre-existing school demolished (permit 14-185037),500 CUMMER AVE,18,0,9252,9252,0,http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=3903977&isCofASearch=false
117,Under Review,20 147756 STE 12 SA,2020-05-22,"Site Plan approval for proposed renovations and additions to the existing place of worship.  The proposed addition will be approximately 719 square metres, for a total gross floor area of 5038 square metres.",1445 EGLINTON AVE W,12,0,719,719,0,http://app.toronto.ca/AIC/index.do?folderRsn=Rzx79FRBy8Ha8Cv%2Fc6nkzg%3D%3D
118,Active,17 279785 NNY 24 OZ,2017-12-28,The proposal is for 7 townhosues with integral garages at the rear with driveway access from Clearcrest Ave.  A reduced GFA to 1255m2 (FSI 1.47) with a 35 degree angular plane.,21 CLEARCREST AVE,18,1255.07,0,1255.07,7,http://app.toronto.ca/AIC/index.do?folderRsn=FLCJfpAg%2BTB6PnGr6a3deA%3D%3D
119,Built,13 135076 STE 27 OZ,2013-03-18,"Zoning By-Law Amendment (13 135076 STE 27 OZ) and rental housing Demolition (13 135082 STE 27 RH) to erect a 37-storey mixed use building, including a 7-storey base building .",70 CARLTON ST,13,34887,658,35545,537,
120,Built,09 199813 NNY 15 OZ,2009-12-24,To permit the development of an 18-storey mixed use building containing 204 residential units and approximately 1425 m2 of ground floor and mezzanine level retail.  The proposed building would have a 9-storey base building and the total building height w,1603 EGLINTON AVE W,12,16900.4,613.7,17514.1,219,
121,Built,13 134203 STE 28 SA,2013-03-15,"This is a Gold Star Site Plan Control application for a proposed a 17-storey office tower at 351 King Street East with a 5 storey podium and retail uses at grade.  The proposal comprises 46,520 m2 of non-residential Gross Floor Area, of which 44,532 m2 i",333 KING ST E,13,0,46520,46520,0,
122,Built,17 136577 WET 05 SA,2017-03-30,To construct a new two storey addition to the south side of the existing Norseman Junior Middle School as well as interior alterations to six existing classrooms and a reconfiguration of the existing parking lot on the north side of the site. The total G,105 NORSEMAN ST,3,0,1496,1496,0,http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=4130238&isCofASearch=false
123,Built,12 142308 STE 32 OZ,2012-03-23,"Proposed new six storey mixed use building with 29 residential units, retail at grade and below grade parking",1880 QUEEN ST E,19,3748,647,4395,31,
124,Built,18 173092 WET 12 SA,2018-06-06,Eglinton Crosstown Light Rail Tranist Energy - Storage Facility -,55 RAY AVE,5,0,1500,1500,0,http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=4388334&isCofASearch=false
125,Active,17 145066 NNY 25 OZ,2017-04-18,A 12-­storey residential building on a property that currently operates as a surface parking area. The building will front onto Broadway Avenue. The existing 17-­storey rental apartment building on the site will be retained.,55 ERSKINE AVE,15,9061,0,9061,103,http://app.toronto.ca/AIC/index.do?folderRsn=32yOvptADC4PjY77TvVhOw%3D%3D
126,Active,13 173059 NNY 34 OZ,2013-05-23,"Proposal is to demolish the existing rental buildings and replace them with 3 new residential buildings - a 10 storey condo building, 4 storey condo building and 4 storey rental replacement building.  Total of 324 residential dwelling units (263 condo un",40 MOCCASIN TRL,16,26511,0,26511,294,http://app.toronto.ca/AIC/index.do?folderRsn=CWy3kkarmv7tLwx2VdQYkQ%3D%3D
127,Built,16 262319 NNY 16 SA,2016-12-09,"Proposal for a new three storey mixed use building with retail at grade, office at 2nd storey, and residential on 3rd floor.",1560 AVENUE RD,8,173.77,359.25,533.02,1,http://app.toronto.ca/AIC/index.do?folderRsn=PnKPQcA03hLHZWYcUeDtmA%3D%3D
128,Built,10 215620 STE 28 OZ,2010-07-08,"Rezoning application to construct new 2 tower condo - 19 and 21 stories - with 527 residential dwelling units, 852 square metres of ground floor retail space, 286 parking spaces in 3 levels underground parking  - APPLICATION IS FOR BOTH 424-460 ADELAIDE",424 ADELAIDE ST E,13,35628.18,851.91,36480.09,527,
129,Active,19 112609 STE 04 OZ,2019-02-06,"Proposed Zoning By-law Amendment to  to permit 6-storey addition to the existing Lakeside Longterm care facility at 150 Dunn Avenue, with approximately 11,736 square metres of gross floor area and 192 new long-term care beds. These new beds will be joint",160 DUNN AVE,4,0,10270,10270,0,http://app.toronto.ca/AIC/index.do?folderRsn=%2BlYYxPOxIoB8e5kJKcJY4w%3D%3D
130,Built,15 175970 NNY 15 OZ,2015-06-17,5 blocks of 3 storey back to back townhouses containing 84 dwelling units and 1 level of under ground parking with 89 vehicle parking spaces proposed and 63 bicycle parking spaces proposed,713 LAWRENCE AVE W,8,6507.1,0,6507.1,84,http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=3770361&isCofASearch=false
131,Under Review,21 179319 NNY 06 SA,2021-07-04,Site Plan application,4190 BATHURST ST,6,1559.3,0,1559.3,18,http://app.toronto.ca/AIC/index.do?folderRsn=QFYrxoTf3WNyY4xYaMo8fw%3D%3D
132,Built,14 139814 STE 27 SA,2014-04-08,"To obtain site plan approval to redevelope the existing site containing a ""Shoppers Drug Mart"" retail store.  The proposal is for a three-storey commercial building containing a two-storey ""Shoppers Drug Mart"" and seperate office uses on the third floor",720 YONGE ST,13,0,1948,1948,0,
133,Built,11 255341 STE 22 OZ,2011-08-11,OPA and Rezoning application for a new 11 storey mixed use building - 109 residential suites - 3 levels below grade parking - 125 bicycle parking spaces - 4 retail units at grade.,1331 YONGE ST,12,15681,895,16576,109,
134,Under Review,21 183828 ESC 25 SA,2021-07-13,"5-storey commercial office building with ground floor retail and a drive-thru restaurant (15,954.7 m2 of GFA); Building B: 1-storey retail building (1,408.5 m2); and 293 parking spaces (159 surface and 134 below grade).",0 MORNINGSIDE AVE,25,0,17363.22,17363.22,0,http://app.toronto.ca/AIC/index.do?folderRsn=HyUrY6j7KoGlLJD4U8VDCg%3D%3D
135,Active,21 102281 STE 13 OZ,2021-01-08,"Housing Now Initiative. City-initiated rezoning.  Proposed 25-storey mixed use building with Proposed Housing Now Initiative.  Proposed 25-storey mixed use building with 266 dwelling units, including 133 affordable housing units, and community facility s",405 SHERBOURNE ST,13,18841,168,19009,267,http://app.toronto.ca/AIC/index.do?folderRsn=s69SCfA9zTciIS7%2F7J1rgA%3D%3D
136,Built,13 271686 STE 22 OZ,2013-11-28,"To rezone the subject property to allow for the construction of two 24/26 storey  residential buildings containing  a total of 519 residential rental dwelling units, 37,846 m2 and plus 510 non-residential square metres for daycare facility.  A total of 5",45 DUNFIELD AVE,12,37488.21,535,38023.21,560,
